"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "CSS", "XML", "Python", "JavaScript JSX", "comment", "blank", "total"
"/Users/joa/Desktop/react-flow-tutorial/README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"/Users/joa/Desktop/react-flow-tutorial/backend/analysis.py", "Python", 0, 0, 0, 0, 0, 0, 11, 0, 3, 4, 18
"/Users/joa/Desktop/react-flow-tutorial/backend/backend.py", "Python", 0, 0, 0, 0, 0, 0, 15, 0, 20, 14, 49
"/Users/joa/Desktop/react-flow-tutorial/change.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/joa/Desktop/react-flow-tutorial/eslint.config.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/joa/Desktop/react-flow-tutorial/index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/joa/Desktop/react-flow-tutorial/package-lock.json", "JSON", 0, 0, 4588, 0, 0, 0, 0, 0, 0, 1, 4589
"/Users/joa/Desktop/react-flow-tutorial/package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"/Users/joa/Desktop/react-flow-tutorial/public/vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joa/Desktop/react-flow-tutorial/src/App.css", "CSS", 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"/Users/joa/Desktop/react-flow-tutorial/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 148, 19, 35, 202
"/Users/joa/Desktop/react-flow-tutorial/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/joa/Desktop/react-flow-tutorial/src/components/AssemblyNode.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/Users/joa/Desktop/react-flow-tutorial/src/components/AssemblyNode.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 14, 9, 60
"/Users/joa/Desktop/react-flow-tutorial/src/components/ComponentNode.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"/Users/joa/Desktop/react-flow-tutorial/src/components/ComponentNode.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 20, 12, 84
"/Users/joa/Desktop/react-flow-tutorial/src/components/SystemNode.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/joa/Desktop/react-flow-tutorial/src/components/SystemNode.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 6, 6, 37
"/Users/joa/Desktop/react-flow-tutorial/src/index.css", "CSS", 0, 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
"/Users/joa/Desktop/react-flow-tutorial/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/Users/joa/Desktop/react-flow-tutorial/vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 44, 13, 4616, 5, 145, 2, 26, 271, 83, 115, 5320